Archive,Full,Unique,Coordinates
Silk-Rabbit-Hole,176,2,0
agape,105,21,0
agora,3676295,86799,52
agora-forums,128,21,0
alpaca,3473,441,0
alphabay,466692,6,0
amazondark,981,153,1
andromeda,48545,2665,0
area51,30451,953,2
armory,1337,803,0
assassinationmarket,84,7,0
blackbankmarket,192863,14672,86
blackbankmarket-forums,35603,134,0
blackgoblin,7,7,0
blackservicesmarket,1405,652,0
bloomsfield,1,1,0
bmr-forums,815,363,0
bungee54,12,1,0
bungee54-forums,56,6,0
buyitnow,90,7,0
cannabisroad,6,6,0
cannabisroad2,75,4,0
cannabisroad2-forums,145,12,0
cannabisroad3,384,209,0
cannabisroad3-forums,32,8,0
cantina,27,12,0
cloudnine,286894,36091,0
cryptomarket,33288,6253,0
darkbay,2880,413,0
darknetnation,143,50,0
dbay,1,1,0
deepzon,488,51,0
diabolus,107497,7625,0
diabolus-forums,129,7,0
docs,11,11,0
dogeroad-forums,4,1,0
dreammarket,2,1,0
drugslist,1919,343,0
evolution,1650229,4,42
freebay,1891,376,1
freemarket,4637,166,1
galaxy-forums,63,29,0
galaxy-forums (1),63,29,0
gobotal,638,2,0
gobotal (1),638,2,0
grams,15,15,3
greyroad,139,81,0
havanaabsolem,227,31,0
haven,6145,752,0
horizon,332,83,0
hydra,63575,6699,0
hydra-forums,151,9,0
ironclad,3064,996,1
kiss-forums,10,1,0
middleearth,155842,2742,0
mrniceguy-forums,2,1,0
mrniceguy2,11,1,0
onionshop,5383,887,1
outlawmarket-forums,91,4,0
oxygen,80266,8430,0
panacea,22412,1594,0
panacea-forums,139,4,0
pandora,531824,13689,0
pandora-forums,65,3,0
pbf-forums,3,3,0
pigeon,194,194,0
piratemarket,10220,669,0
poseidon,3640,421,0
silkroad-wiki,13,2,0
silkroad1-forums,32,32,0
silkroad1-forums-20130703-anonymous,19,19,0
silkroad1-forums-gwernrasmusandersen,32,32,0
silkroad2,32748,21721,35
silkroad2-forums,1464,32,0
silkroadreloaded,6472,59,0
silkstreet,344,35,4
simplybear,16,6,0
thehub-forums,1000,13,0
themajesticgarden,17,6,0
themajesticgarden-forums,1248,27,0
themarketplace,41163,2924,0
therealdeal-forums,10,1,0
tochka,61,2,0
tom,23441,1610,0
tom-forums,63,3,0
topix2,7533,80,0
torbay,10,5,0
torescrow-forums,5,5,0
tormarket 2,2,1,0
tortuga2,29,6,0
undergroundmarket-forums,74,7,0
unitech,2,1,0
utopia,1,1,0
utopia-forums,1493,111,0
vault43,3,1,0
whiterabbit,12,2,0
zanzibarspice,24,2,0
